Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Melorra,2015.0,Bangalore,E-Commerce And Retail,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings",12500000.0,Early Seed,2020
Reliance,1973.0,Mumbai,Energy And Environment,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake",2200000000.0,Bridge,2020
Inflexor Ventures,2020.0,Mumbai,Finance,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",Kalaari Capital,10000000.0,Pre-Seed,2020
Pandorum,2011.0,Bangalore,Technology And Software,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund",5060000.0,Series G,2020
SpeakIn,2018.0,Noida,Social Networking,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,4000000.0,Series H,2020
LetsUp,2015.0,Mumbai,Media And Entertainment,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar,Better Capital,4000000.0,Early Seed,2020
Newsreach,2018.0,Gujarat,Media And Entertainment,NewsReach India offers partner publications a digital footprint,Bhavish Aggarwal,Mumbai Angels,4000000.0,Fresh Funding,2020
Dream11,2008.0,Mumbai,Technology And Software,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings",225000000.0,Series A+,2020
SignalX,2018.0,Hyderabad,Technology And Software,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,We Founder Circle,750000.0,Series G,2020
JetSynthesys,2012.0,Mumbai,Technology And Software,Gaming and entertainment startup,Rajan Navani,Anicut Angel Fund,40000000.0,Series A,2020
Vesta Space Technology,2018.0,Pune,Technology And Software,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,Titan Capital,10000000.0,Fresh Funding,2020
Dozee,2015.0,Bangalore,Healthcare And Health Technology,Dozee offers health and wellness monitoring products.,Gaurav Parchani,Unicorn India Ventures,1600000.0,Private Equity,2020
Rebel Foods,2011.0,Pune,Consumer Goods And Services,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,50000000.0,Early Seed,2020
Nykaa,2012.0,Mumbai,Fashion And Apparel,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,24700000.0,Seed Funding,2020
Ketto,2012.0,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital",7700000.0,Series E,2020
Suryoday,2008.0,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital",800000.0,Venture - Series Unknown,2020
SucSEED,2016.0,Hyderabad,Finance,Venture Partners,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal",1300000.0,Series E,2020
Unacademy,2015.0,Bangalore,Education And Learning,Unacademy is an Indian online education technology company,"Gaurav Munjal, ?Roman Saini?","Nexus Venture Partners, Sequoia Capital",150000000.0,Series G,2020
Strata,2019.0,Bangalore,Real Estate And Housing,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, SAIF Partners",19067328.0,Bridge,2020
3one4 Capital,2016.0,Bangalore,Finance,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",Mumbai Angels Network,100000000.0,Debt Financing,2020
WE-Hub,2018.0,Hyderabad,Entrepreneurship And Business Incubation,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,Alteria Capital,4000000.0,Series D1,2020
Zomato,2008.0,Haryana,Consumer Goods And Services,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford",62000000.0,Seed Funding,2020
Vicara,2017.0,Bangalore,Technology And Software,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",Inflection Point Ventures,4000000.0,Pre-Seed,2020
Gaana,2010.0,Gurugram,Technology And Software,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet",51000000.0,Seed Round,2020
EM3 Agri,2013.0,Noida,Agriculture And Technology,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund",1000000.0,Series A,2020
Plum,2013.0,Thane,Consumer Goods And Services,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners",115000.0,Series A+,2020
Odwen,2018.0,Noida,Technology And Software,India's first do-it-yourself warehouse management system.,"Aman Gupta, Sameer Mehta",Prospect Partners.,54000.0,Seed Funding,2020
Fasal,2018.0,Bangalore,Agriculture And Technology,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,Kunal Shah,"Omnivore, Zeroth.AI",20000.0,Series A,2020
Trukky,2015.0,Ahmedabad,Transport,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,4000000.0,Debt Financing,2020
BankBazaar,2008.0,Chennai,Finance,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon",9000000.0,Venture - Series Unknown,2020
Specsmakers,2011.0,Chennai,Fashion And Apparel,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,3000000.0,Series F,2020
Grinntech,2013.0,Dehradun,Transport,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain",Venture Catalysts,2000000.0,Series G,2020
CreditMantri,2012.0,Chennai,Technology And Software,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee",803146.0,Seed Round,2020
Chai Waale,2018.0,Chennai,Consumer Goods And Services,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj",238000.0,Series A+,2020
Deepsync,2018.0,Bangalore,Technology And Software,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,300000.0,Seed,2020
